排名	排名变化	品牌	品牌价值（亿元人民币）	Chg	母公司	品牌价值占母公司市值比例	trade	city	
1	0	贵州茅台	6,400	1.37	贵州茅台	42%	酒类	贵州遵义	
2	14	中华	3,500	2.98	上海烟草	35%	烟草	上海	
3	2	天猫	3,200	0.68	阿里巴巴	9%	电子商务和零售	浙江杭州	
4	-2	淘宝	3,000	0.18	阿里巴巴	9%	电子商务和零售	浙江杭州	
5	-1	中国工商银行	2,350	0	中国工商银行	11%	金融	北京	
6	1	微信	2,300	0.35	腾讯	8%	生活服务	广东深圳	
7	0	平安	2,150	0.26	中国平安	13%	金融	广东深圳	
8	-5	腾讯	2,000	-0.18	腾讯	7%	科技	广东深圳	
9	-3	中国建设银行	1,850	0.03	中国建设银行	10%	金融	北京	
10	0	中国移动	1,750	0.09	中国移动	12%	电信	北京	
11	19	芙蓉王	1,600	2.56	芙蓉王	24%	烟草	湖南常德	
12	9	五粮液	1,450	1.64	五粮液	30%	酒类	四川宜宾	
13	-2	中国银行	1,350	0.04	中国银行	12%	金融	北京	
14	-1	华为	1,250	0.14	华为	9%	数码	广东深圳	
15	NEW	QQ	1,200	-	腾讯	4%	生活服务	广东深圳	
16	-4	中国农业银行	1,150	-0.04	中国农业银行	9%	金融	北京	
16	-1	中国人寿	1,150	0.28	中国人寿	14%	金融	北京	
18	-2	招商银行	1,100	0.25	招商银行	12%	金融	广东深圳	
18	4	黄鹤楼	1,100	1.16	黄鹤楼	21%	烟草	湖北武汉	
20	-13	百度	1,050	-0.38	百度	36%	科技	北京	
20	20	玉溪	1,050	2.18	红塔	21%	烟草	云南玉溪	
22	-8	支付宝	1,000	0	蚂蚁金服	10%	金融	浙江杭州	
22	-4	京东	1,000	0.19	京东	23%	电子商务和零售、金融	北京	
24	-5	滴滴出行	830	0.2	滴滴出行	28%	生活服务	北京	
25	-3	伊利	795	0.56	伊利	38%	食品饮料	内蒙古呼和浩特	
26	24	利群	770	1.91	利群	12%	烟草	浙江杭州	
27	7	云烟	725	1.07	云烟	11%	烟草	云南昆明	
28	0	美的	710	0.51	美的	19%	家用电器	广东佛山	
