,location,,address,adname,cityname,id,importance,name,pname,tel,type,typecode,X,Y
0,"112.966189,28.141542",,南二环新开铺109号南郊公园内,天心区,长沙市,B0FFF36MVH,[],南郊汽车影院(南二环店),湖南省,0731-88788788,体育休闲服务;影剧院;电影院,80601,112.966189,28.141542
1,"117.332906,31.867353",,长江东路589号,瑶海区,合肥市,B0FFF5T9WX,[],花冲影城(长江东路店),安徽省,0551-64489558;0551-64483032,体育休闲服务;影剧院;电影院,80601,117.332906,31.867353
2,"109.122237,21.444863",,海洋之窗附近,银海区,北海市,B030B00TQI,[],动感4D影院,广西壮族自治区,0779-3887777;0779-3886666,体育休闲服务;影剧院;影剧院相关,80600,109.122237,21.444863
3,"106.213212,38.483524",,北京中路新华百货CC park购物广场3层,金凤区,银川市,B03B703ZWC,[],橙天嘉禾影城(拉普斯店),宁夏回族自治区,0951-5132000,体育休闲服务;影剧院;电影院,80601,106.213212,38.483524
4,"112.933554,28.217451",,桐梓坡路维也纳国际酒店2单元4楼(河西王府井步步高对面),岳麓区,长沙市,B0FFG4CKN6,[],恋影私人主题影吧,湖南省,13307316761;18684675787,体育休闲服务;体育休闲服务场所;体育休闲服务场所,80000,112.933554,28.217451
5,"101.786962,36.620845",,饮马街口37号天桥购物购物广场2层(大十字莫家街对面),城中区,西宁市,B03CB10MM6,[],青剧天桥影城(天桥购物广场店),青海省,0971-6105329;13897231668,体育休闲服务;影剧院;电影院,80601,101.786962,36.620845
6,"112.546027,37.883542",,柳溪街11号阳光时尚广场4层,杏花岭区,太原市,B015F14GJ3,[],金刚里影城(金刚里店),山西省,0351-5258040;0351-5258139,体育休闲服务;影剧院;电影院,80601,112.546027,37.883542
7,"108.399881,22.812298",,民族大道150号,青秀区,南宁市,B03030UCJY,[],民族影城(民族大道店),广西壮族自治区,0771-5525322,体育休闲服务;影剧院;电影院,80601,108.399881,22.812298
8,"107.170954,34.361286",,金台大道28号马营大润发超市6层,金台区,宝鸡市,B03950PPHQ,[],五州国际电影城(马营大润发店),陕西省,0917-2959711;0917-2959722;0917-3121599,体育休闲服务;影剧院;电影院,80601,107.170954,34.361286
9,"112.984873,28.179280",,城南路街道芙蓉中路摩天一号好乐迪巷,天心区,长沙市,B0FFGRD1UG,[],华夏太古巨幕影城(贺龙店),湖南省,0731-88096799,体育休闲服务;影剧院;电影院,80601,112.984873,28.17928
10,"117.329844,31.894031",,铜陵北路与颖河路交汇处东侧(生态公园北侧),瑶海区,合肥市,B022715N9S,[],正鼎国际电影城(利港店),安徽省,0551-62796996;0551-62796992,体育休闲服务;影剧院;电影院,80601,117.329844,31.894031
11,"115.959547,28.679183",,高新大道1978号江西艺术中心1-3层,青山湖区,南昌市,B03170S32I,[],天幕影城(高新大道店),江西省,0791-88112200;13576976704,体育休闲服务;影剧院;电影院,80601,115.959547,28.679183
12,"112.565136,37.825242",,茂业天地6幢601,小店区,太原市,B0FFGKGFXP,[],点时私人影院,山西省,0351-4366811,体育休闲服务;影剧院;电影院,80601,112.565136,37.825242
13,"112.970087,28.149466",,乾城一期4栋裙楼3003号,天心区,长沙市,B0FFH0UAJG,[],执念,湖南省,18684861716;0731-85232561;0731-85230261,体育休闲服务;影剧院;电影院,80601,112.970087,28.149466
14,"117.286117,31.896932",,阜阳北路与北二环交叉口向南200米处源祥广场3层,庐阳区,合肥市,B0FFGDFK0S,[],天天欢乐影城(源祥广场店),安徽省,0551-65509528;0551-62862096,体育休闲服务;影剧院;电影院,80601,117.286117,31.896932
15,"115.917852,28.680906",,二七北路328号南昌壹9二七内4层,东湖区,南昌市,B0FFFGWZA0,[],星濠国际影城,江西省,[],体育休闲服务;影剧院;电影院,80601,115.917852,28.680906
16,"112.560056,37.867816",,解放路41号,迎泽区,太原市,B015F006FB,[],宽银幕电影院(解放路店),山西省,0351-2024994;0351-2024431,体育休闲服务;影剧院;电影院,80601,112.560056,37.867816
17,"108.311694,22.797503",,星光大道25号,江南区,南宁市,B0303007E6,[],江南电影院(星光大道店),广西壮族自治区,0771-4823159,体育休闲服务;影剧院;电影院,80601,108.311694,22.797503
18,"111.738630,40.839905",,新华东街与东二环路交汇处内蒙古博物院旁边,新城区,呼和浩特市,B01D702BZT,[],内蒙古乌兰恰特电影城,内蒙古自治区,0471-4608277;0471-8945666;0471-6962554,体育休闲服务;影剧院;电影院,80601,111.73863,40.839905
19,"112.972767,28.141788",,书院南路174号新一佳3层,天心区,长沙市,B0FFFZP6ZS,[],潇湘佳星国际影城,湖南省,0731-82762402;0731-89904571,体育休闲服务;影剧院;电影院,80601,112.972767,28.141788
20,"87.601276,43.780302",,钱塘江路168号友好时尚购物中心6层,沙依巴克区,乌鲁木齐市,B0FFGF471L,[],103电影公园(钱塘江路店),新疆维吾尔自治区,0991-5512876,体育休闲服务;影剧院;电影院,80601,87.601276,43.780302
21,"106.279249,38.461642",,新华东街118号,兴庆区,银川市,B03B703ZAZ,[],金凤凰电影城,宁夏回族自治区,0951-6026095;0951-6026388;0951-6023395,体育休闲服务;影剧院;电影院,80601,106.279249,38.461642
22,"106.290018,38.497000",,民族北街蓝泰广场6层,兴庆区,银川市,B0FFG7M10Y,[],金凤凰电影城(蓝泰店),宁夏回族自治区,0951-6011137,体育休闲服务;影剧院;电影院,80601,106.290018,38.497
23,"111.672978,27.692684",,交通路湘王大厦2层,涟源市,娄底市,B02E20NDEJ,[],华谊国际影城,湖南省,0738-4420501;0738-4458222,体育休闲服务;影剧院;电影院,80601,111.672978,27.692684
24,"112.549703,37.822689",,景苑16号楼1单元604室,小店区,太原市,B0FFH6SMWO,[],萤石私人影吧,山西省,0351-7222295;13834229889,体育休闲服务;影剧院;电影院,80601,112.549703,37.822689
25,"101.761985,36.629491",,五四大街31号,城西区,西宁市,B03CB1078Q,[],青剧影城(五四大街店),青海省,0971-6146561,体育休闲服务;影剧院;电影院,80601,101.761985,36.629491
26,"112.941281,28.141305",,阳光壹佰一期3-11栋303,岳麓区,长沙市,B0FFG3RHW8,[],不语时光影院(阳光一百店),湖南省,0731-88572270;17775851115,体育休闲服务;影剧院;电影院,80601,112.941281,28.141305
27,"109.1137,21.474201",,北部湾中路62号新力百货商业广场4层,海城区,北海市,B0FFF9RYRU,[],海之恋影院(新力百货商业广场店),广西壮族自治区,0779-3061833,体育休闲服务;影剧院;电影院,80601,109.1137,21.474201
28,"87.598399,43.802595",,扬子江路49号,沙依巴克区,乌鲁木齐市,B03DF0687Z,[],十月影剧院,新疆维吾尔自治区,0991-4506809;0991-5580987,体育休闲服务;影剧院;电影院,80601,87.598399,43.802595
29,"112.567413,37.864301",,柳巷南路19号贵都世纪广场12层,迎泽区,太原市,B015F15D3Z,[],横店电影城(贵都店),山西省,0351-6196179;0351-5223168,体育休闲服务;影剧院;电影院,80601,112.567413,37.864301
30,"108.324938,22.784941",,白沙大道20号南城百货4层,江南区,南宁市,B03030WQDX,[],橙天嘉禾影城(南城店),广西壮族自治区,0771-4350166;0771-4350266,体育休闲服务;影剧院;电影院,80601,108.324938,22.784941
31,"106.315444,38.509851",,兴水路1号绿地21城A区4号楼,兴庆区,银川市,B03B70PI5V,[],红地毯影城(兴水路店),宁夏回族自治区,0951-7697166,体育休闲服务;影剧院;电影院,80601,106.315444,38.509851
32,"87.634356,43.788109",,幸福南路70号1-2层,天山区,乌鲁木齐市,B03DF0SJH7,[],天山影城(幸福店),新疆维吾尔自治区,0991-2628171;0991-2607029,体育休闲服务;影剧院;电影院,80601,87.634356,43.788109
33,"112.006538,27.72765",,氐星路万豪城市广场4层,娄星区,娄底市,B02E20NNLG,[],左岸国际影城(万豪城市广场店),湖南省,0738-2882111,体育休闲服务;影剧院;电影院,80601,112.006538,27.72765
34,"108.307528,22.794091",,五一东路7号淡村商贸城6号楼5层,江南区,南宁市,B03030TANO,[],大地影院(淡村商贸店),广西壮族自治区,0771-4951022;4006782828,体育休闲服务;影剧院;电影院,80601,108.307528,22.794091
35,"112.572326,37.861400",,五一广场西115号,迎泽区,太原市,B015F009C2,[],太原影都(五一广场店),山西省,0351-4044521;0351-4042863;15935616103,体育休闲服务;影剧院;电影院,80601,112.572326,37.8614
36,"108.302864,22.794248",,江南水街综合楼7号楼2层,江南区,南宁市,B0FFG16YO4,[],横店电影城(南宁水街店),广西壮族自治区,0771-4951360,体育休闲服务;影剧院;电影院,80601,108.302864,22.794248
37,"87.608674,43.803615",,光明路30号世纪金花B1层,天山区,乌鲁木齐市,B03DF0UVP3,[],星辉电影公园(世纪金花店),新疆维吾尔自治区,0991-8128888;0991-2628605,体育休闲服务;影剧院;电影院,80601,87.608674,43.803615
38,"101.772833,36.6195",,长江路128号BHG Mall北京华联西宁购物中心3层,城中区,西宁市,B03CB0ZHOG,[],橙天嘉禾影城(长江路店),青海省,0971-8565366;0971-8565266,体育休闲服务;影剧院;电影院,80601,101.772833,36.6195
39,"111.662912,40.803162",,大东街1号七彩城购物中心5层50447号,玉泉区,呼和浩特市,B0FFH0L50F,[],凯诺星空影城(亚辰海派七彩城店),内蒙古自治区,0471-3982233;0471-3983322,体育休闲服务;影剧院;电影院,80601,111.662912,40.803162
40,"108.309401,22.794311",,五一东路3号江南梦之岛6层,江南区,南宁市,B03030V5AY,[],大地数字影院(江南梦之岛店),广西壮族自治区,0771-2529734,体育休闲服务;影剧院;电影院,80601,108.309401,22.794311
41,"112.564682,37.863885",,开化寺街12号金地国际公寓609室,迎泽区,太原市,B0FFGD74I1,[],蓝影汇·私人影院(柳巷店),山西省,13734003269;0351-7772866,体育休闲服务;影剧院;电影院,80601,112.564682,37.863885
42,"112.916720,28.231143",,杜鹃路858号奥克斯缤纷广场F3层-F4层,岳麓区,长沙市,B0FFH0W1IC,[],芒果国际影城(奥克斯缤纷广场店),湖南省,[],体育休闲服务;影剧院;电影院,80601,112.91672,28.231143
43,"117.369481,31.877631",,通达路万欢购物广场1层,瑶海区,合肥市,B02271AO21,[],万欢影城(万欢广场店),安徽省,0551-67698080,体育休闲服务;影剧院;电影院,80601,117.369481,31.877631
44,"111.670705,40.814395",,中山西路1号海亮广场F栋6层,回民区,呼和浩特市,B01D70OZR2,[],横店影城(海亮店),内蒙古自治区,0471-5290202;0471-5290555;4008260803,体育休闲服务;影剧院;电影院,80601,111.670705,40.814395
45,"117.236411,29.316172",,景东大道9号恒大名都商业中心3-4层,珠山区,景德镇市,B0FFGCDXMR,[],恒大影城(景东大道店),江西省,0798-8232888;0798-8214888,体育休闲服务;影剧院;电影院,80601,117.236411,29.316172
46,"112.568768,37.869791",,小水巷与柳巷交叉口东100米,迎泽区,太原市,B0FFHLRPAW,[],乐影私人影咖(铜锣湾店),山西省,13934618791,体育休闲服务;影剧院;电影院,80601,112.568768,37.869791
47,"112.554694,28.260490",,花明北路大润发向北20米佰潮汇5层,宁乡市,长沙市,B0FFGH4L1Z,[],佰潮汇影院,湖南省,0731-87058058,体育休闲服务;影剧院;电影院,80601,112.554694,28.26049
48,"112.953424,28.213069",,咸嘉湖路48号河西王陵公园内,岳麓区,长沙市,B02DB07Q4P,[],幕语汽车影苑,湖南省,0731-88803888,体育休闲服务;影剧院;电影院,80601,112.953424,28.213069
49,"115.86467,28.690136",,绿茵路129号联发广场红谷中心天虹4层,东湖区,南昌市,B0FFF4P8UT,[],金逸国际电影城(红谷滩店),江西省,0791-88557672,体育休闲服务;影剧院;电影院,80601,115.86467,28.690136
50,"112.517778,37.857179",,迎泽西大街与千峰南路交汇处能源中心裙楼7层,万柏林区,太原市,B015F0IRPP,[],奥斯卡国际影城(能源中心店),山西省,0351-6110088,体育休闲服务;影剧院;电影院,80601,112.517778,37.857179
51,"87.570401,43.848143",,北京南路429号福润德购物中心3层,新市区,乌鲁木齐市,B03DF0SHQS,[],星光电影城(北京南路店),新疆维吾尔自治区,0991-3694388,体育休闲服务;影剧院;电影院,80601,87.570401,43.848143
52,"112.871598,28.204784",,涉外经济学院西门天元七彩mall商城3层,岳麓区,长沙市,B0FFFQ0ZHJ,[],潇湘大乐影城(涉外西门店),湖南省,0731-82257888;0731-82257555,体育休闲服务;影剧院;电影院,80601,112.871598,28.204784
53,"117.232787,31.831635",,望江西路198号大唐国际购物中心3层,蜀山区,合肥市,B02270JQD5,[],左岸国际电影城(大唐国际购物中心店),安徽省,0551-65584100,体育休闲服务;影剧院;电影院,80601,117.232787,31.831635
54,"112.559417,37.823875",,亲贤北街99号王府井百货A馆6F层,小店区,太原市,B015F14DHD,[],太原横店电影城(王府井店),山西省,0351-7887688,体育休闲服务;影剧院;电影院,80601,112.559417,37.823875
55,"108.336691,22.806736",,星湖路1号,青秀区,南宁市,B0303054RW,[],星湖影城,广西壮族自治区,0771-5867009;0771-5852665;13878824560,体育休闲服务;影剧院;电影院,80601,108.336691,22.806736
56,"115.900936,28.623329",,施尧路1111号水榭公馆3层,青云谱区,南昌市,B0FFGYMV80,[],中影银河影城,江西省,0791-85292636;0791-83857636,体育休闲服务;影剧院;电影院,80601,115.900936,28.623329
57,"112.931232,27.930918",,吉利西路7号铭鸿新杉世纪广场2栋4层,雨湖区,湘潭市,B02DC0OJ6J,[],银都国际影城(新杉世纪广场店),湖南省,0731-52836988;0731-52836966,体育休闲服务;影剧院;电影院,80601,112.931232,27.930918
58,"112.480992,34.686149",,左安街西侧青年宫广场北侧(近八角楼金街),老城区,洛阳市,B017B01GTM,[],新华国际影城(洛阳店),河南省,0379-63969333;0379-63956600,体育休闲服务;影剧院;电影院,80601,112.480992,34.686149
59,"112.895254,28.213458",,瑞龙路标志麓谷坐标南门(麓谷公园湖边岚园酒店一楼),岳麓区,长沙市,B0FFGPBM9B,[],创锦私人影院,湖南省,0731-89796229,体育休闲服务;影剧院;电影院,80601,112.895254,28.213458
60,"112.481591,34.693805",,环城北路12号,瀍河回族区,洛阳市,B0FFGZGDLT,[],中影星美影城,河南省,0379-60213999,体育休闲服务;影剧院;电影院,80601,112.481591,34.693805
61,"117.283468,31.880048",,北一环路16号,庐阳区,合肥市,B0227161SY,[],人民影城(北一环店),安徽省,0551-65530656,体育休闲服务;影剧院;电影院,80601,117.283468,31.880048
62,"113.115034,28.217040",,小塘路28号,长沙县,长沙市,B0FFGH01Q8,[],华耀国际影城(泉塘店),湖南省,0731-86221866;0731-86221566;15367877433,体育休闲服务;影剧院;电影院,80601,113.115034,28.21704
63,"111.611227,40.835801",,成吉思汗西街99号恒大雅苑商业中心3层,回民区,呼和浩特市,B0FFF5QYFU,[],恒大影城,内蒙古自治区,0471-3693322,体育休闲服务;影剧院;电影院,80601,111.611227,40.835801
64,"112.569952,37.869196",,柳巷北路68号铜锣湾潮流汇购物城3层,迎泽区,太原市,B015F18RLW,[],横店影城(潮流汇店),山西省,0351-5611299;0351-7887688,体育休闲服务;影剧院;电影院,80601,112.569952,37.869196
65,"112.980715,28.023753",,南托街道北塘路19号4楼,天心区,长沙市,B0FFGWYUW7,[],爱幕私人影院,湖南省,18820125242,体育休闲服务;影剧院;电影院,80601,112.980715,28.023753
66,"112.952914,28.195326",,枫林路1号通程商业广场5层,岳麓区,长沙市,B02DB10JFD,[],亿鑫影城(麓山店),湖南省,0731-82285085;0731-88854588,体育休闲服务;影剧院;电影院,80601,112.952914,28.195326
67,"116.261455,28.378743",,滨湖大道199号,进贤县,南昌市,B03170UYSB,[],进贤华影城(滨湖大道店),江西省,0791-85507766,体育休闲服务;影剧院;电影院,80601,116.261455,28.378743
68,"111.690299,34.385687",,城关镇大唐文化广场3层(王协大桥北侧),洛宁县,洛阳市,B0FFFYWSWQ,[],大唐国际影城,河南省,0379-65228880,体育休闲服务;影剧院;电影院,80601,111.690299,34.385687
69,"91.12931,29.649973",,宇拓路30号珠峰伟业2层,城关区,拉萨市,B037B0274W,[],拉萨电影城(珠峰店),西藏自治区,0891-6324865;0891-6329991,体育休闲服务;影剧院;电影院,80601,91.12931,29.649973
