地区,2018,2017,2016,2015,2014,2013
北京,39842.69,37425.34,35415.75,33802.77,31102.89,29175.63
天津,29902.91,27841.38,26129.35,24162.46,22342.98,20418.67
河北,16722,15436.99,14247.49,13030.69,11931.54,10872.18
山西,14810.12,13664.44,12682.85,11729.05,10863.83,10118.33
内蒙古,19665.22,18945.54,18072.28,17178.53,16258.12,14877.66
辽宁,21398.31,20463.36,19852.8,17199.8,16067.98,14950.16
吉林,17200.41,15631.86,14772.55,13763.91,13025.97,12054.34
黑龙江,16993.96,15577.48,14445.81,13402.54,12768.76,12037.23
上海,43351.3,39791.85,37458.33,34783.55,33064.76,30399.88
江苏,25007.44,23468.63,22129.89,20555.56,19163.56,17925.75
浙江,29470.68,27079.06,25526.63,24116.88,22551.97,20610.09
安徽,17044.64,15751.74,14711.53,12840.11,11726.99,10544.09
福建,22996.04,21249.35,20167.48,18850.19,17644.47,16176.63
江西,15792.02,14459.02,13258.62,12403.37,11088.89,10052.77
山东,18779.77,17280.69,15926.36,14578.36,13328.9,11896.77
河南,15168.5,13729.61,12712.34,11835.13,11000.44,10002.47
湖北,19537.79,16937.59,15888.65,14316.5,12928.31,11760.77
湖南,18807.94,17160.4,15750.46,14267.34,13288.73,11945.85
广东,26053.98,24819.63,23448.42,20975.7,19205.5,17421
广西,14934.75,13423.66,12295.18,11401,10274.31,9596.5
海南,17528.44,15402.73,14275.37,13575.02,12470.59,11192.88
重庆,19248.47,17898.05,16384.83,15139.54,13810.62,12600.2
四川,17663.55,16179.94,14838.52,13632.1,12368.4,11054.66
贵州,13798.06,12969.62,11931.6,10413.75,9303.35,8288
云南,14249.93,12658.12,11768.76,11005.41,9869.54,8823.81
西藏,11520.23,10320.12,9318.71,8245.76,7316.95,6306.79
陕西,16159.69,14899.67,13943.04,13087.22,12203.59,11217.32
甘肃,14623.95,13120.11,12254.25,10950.76,9874.57,8943.39
青海,16557.19,15503.13,14774.66,13611.34,12604.8,11576.5
宁夏,16715.09,15350.29,14965.41,13815.63,12484.52,11292.02
新疆,16189.09,15087.3,14066.46,12867.4,11903.71,11391.84
